"year","stat6","pounds"
1991,515931,17346
1991,515933,20700
1991,515935,136577
1991,515936,298513
1991,515937,161814
1991,525600,1104146
1991,525630,11992302
1991,525701,4061292
1991,525702,53898493
1991,525703,2596304
1991,525731,891837
1991,525732,1615039
1991,525733,1266041
1991,525801,5925
1991,525802,801367
1991,525803,835631
1991,525804,26105
1991,525805,302148
1991,525806,928432
1991,525807,711935
1991,525831,740
1991,525833,272427
1991,525834,5812
1991,525836,6793
1991,525837,631
1991,525901,14480
1991,525902,567287
1991,525931,435694
1991,535530,751706
1991,535601,842804
1991,535602,1438605
1991,535631,545728
1991,535632,16076219
1991,535633,7998
1991,535634,103184
1991,535635,95561
1991,535701,355620
1991,535702,120458
1991,535703,644926
1991,535704,1840928
1991,535705,104172
1991,535706,436297
1991,535731,1219198
1991,535732,1634212
1991,535733,653951
1991,535734,298522
1991,535735,18
1991,535802,3973730
1991,535803,2750628
1991,535832,5987
1991,535833,4054
1991,535834,1759
1991,535906,49448
1991,535931,2610
1991,545500,66029
1991,545530,858286
1991,545601,62395
1991,545602,1921404
1991,545631,470123
1991,545632,359594
1991,545633,57646
1991,545701,448004
1991,545702,638979
1991,545703,367680
1991,545731,336272
1991,545732,4286032
1991,545733,2862570
1991,545734,2336454
1991,545802,89137
1991,545803,757204
1991,555430,221746
1991,555500,1330592
1991,555532,252060
1991,555600,814236
1991,555630,1935389
1991,555701,229231
1991,555702,1252
1991,555732,42725
1991,555733,108455
1991,565430,12141
1991,565500,435735
1991,565532,224065
1991,565601,933109
1991,565602,231366
