"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","Area"
37603,-156.30332,55.88922,-392.108147,5685.3979,14
37604,-156.27134,55.88984,-390.1180045,5685.28551,14
37605,-156.23936,55.89045,-388.1278638,5685.173077,14
37606,-156.20738,55.89105,-386.137725,5685.060601,14
37607,-156.1754,55.89164,-384.147588,5684.948083,14
37608,-156.14341,55.89223,-382.1574529,5684.835521,14
37609,-156.11143,55.8928,-380.1673197,5684.722917,14
37610,-156.07944,55.89337,-378.1771883,5684.61027,14
37611,-156.04745,55.89393,-376.1870588,5684.49758,14
37860,-156.84818,55.89533,-425.8272976,5689.305466,14
37861,-156.8162,55.89609,-423.8370954,5689.193802,14
37862,-156.78423,55.89685,-421.8468948,5689.082095,14
37863,-156.75225,55.89759,-419.8566959,5688.970345,14
37864,-156.72027,55.89833,-417.8664987,5688.858553,14
37865,-156.68829,55.89906,-415.8763033,5688.746717,14
37866,-156.65631,55.89979,-413.8861095,5688.634839,14
37867,-156.62433,55.9005,-411.8959174,5688.522918,14
37868,-156.59234,55.9012,-409.9057271,5688.410954,14
37869,-156.56036,55.9019,-407.9155385,5688.298947,14
37870,-156.52837,55.90259,-405.9253517,5688.186897,14
37871,-156.49638,55.90327,-403.9351666,5688.074805,14
37872,-156.46439,55.90394,-401.9449833,5687.96267,14
37873,-156.4324,55.9046,-399.9548018,5687.850491,14
37874,-156.40041,55.90525,-397.9646221,5687.73827,14
37875,-156.36842,55.90589,-395.9744441,5687.626006,14
37876,-156.33643,55.90653,-393.9842679,5687.5137,14
37877,-156.30443,55.90716,-391.9940936,5687.40135,14
37878,-156.27244,55.90777,-390.0039211,5687.288958,14
37879,-156.24044,55.90838,-388.0137504,5687.176523,14
37880,-156.20844,55.90898,-386.0235815,5687.064044,14
37881,-156.17645,55.90958,-384.0334145,5686.951524,14
37882,-156.14445,55.91016,-382.0432494,5686.83896,14
37883,-156.11245,55.91074,-380.0530861,5686.726353,14
37884,-156.08044,55.9113,-378.0629247,5686.613704,14
37885,-156.04844,55.91186,-376.0727652,5686.501012,14
38135,-156.88154,55.91248,-427.7039933,5691.42055,14
38136,-156.84955,55.91325,-425.7137594,5691.308926,14
38137,-156.81756,55.91402,-423.7235272,5691.19726,14
38138,-156.78557,55.91477,-421.7332966,5691.085551,14
38139,-156.75358,55.91552,-419.7430678,5690.973798,14
38140,-156.72158,55.91626,-417.7528406,5690.862004,14
38141,-156.68959,55.91699,-415.7626151,5690.750166,14
38142,-156.65759,55.91771,-413.7723913,5690.638285,14
38143,-156.62559,55.91843,-411.7821692,5690.526362,14
38144,-156.59359,55.91913,-409.7919489,5690.414395,14
38145,-156.56159,55.91983,-407.8017303,5690.302386,14
38146,-156.52959,55.92052,-405.8115135,5690.190334,14
38147,-156.49759,55.9212,-403.8212984,5690.078239,14
38148,-156.46558,55.92187,-401.831085,5689.966101,14
38149,-156.43358,55.92253,-399.8408734,5689.853921,14
38150,-156.40157,55.92318,-397.8506637,5689.741697,14
38151,-156.36956,55.92383,-395.8604557,5689.629431,14
38152,-156.33755,55.92446,-393.8702495,5689.517122,14
38153,-156.30554,55.92509,-391.8800451,5689.40477,14
38154,-156.27353,55.92571,-389.8898425,5689.292375,14
38155,-156.24152,55.92632,-387.8996417,5689.179938,14
38156,-156.20951,55.92692,-385.9094428,5689.067458,14
38157,-156.17749,55.92751,-383.9192457,5688.954934,14
38158,-156.14548,55.92809,-381.9290505,5688.842368,14
38159,-156.11346,55.92867,-379.9388571,5688.72976,14
38160,-156.08145,55.92924,-377.9486657,5688.617108,14
38161,-156.04943,55.92979,-375.958476,5688.504413,14
38408,-156.88293,55.9304,-427.5904908,5693.423983,14
38409,-156.85092,55.93118,-425.6002268,5693.312357,14
38410,-156.81892,55.93194,-423.6099646,5693.200688,14
38413,-156.72289,55.93419,-417.6391878,5692.865424,14
38414,-156.69088,55.93492,-415.6489323,5692.753584,14
38415,-156.65887,55.93564,-413.6586785,5692.641701,14
38416,-156.62686,55.93636,-411.6684264,5692.529775,14
38417,-156.59484,55.93706,-409.678176,5692.417806,14
38418,-156.56283,55.93776,-407.6879273,5692.305795,14
38419,-156.53081,55.93845,-405.6976804,5692.19374,14
38420,-156.49879,55.93913,-403.7074352,5692.081643,14
38421,-156.46677,55.9398,-401.7171918,5691.969503,14
38422,-156.43475,55.94046,-399.7269501,5691.85732,14
38423,-156.40273,55.94111,-397.7367103,5691.745094,14
38424,-156.37071,55.94176,-395.7464722,5691.632826,14
38425,-156.33868,55.94239,-393.7562359,5691.520514,14
38426,-156.30666,55.94302,-391.7660014,5691.40816,14
38427,-156.27463,55.94364,-389.7757687,5691.295763,14
38428,-156.2426,55.94425,-387.7855378,5691.183323,14
38429,-156.21057,55.94485,-385.7953088,5691.070841,14
38430,-156.17855,55.94544,-383.8050816,5690.958315,14
38431,-156.14652,55.94603,-381.8148563,5690.845747,14
38432,-156.11448,55.9466,-379.8246328,5690.733136,14
38433,-156.08245,55.94717,-377.8344112,5690.620482,14
38434,-156.05042,55.94773,-375.8441914,5690.507785,14
38688,-156.69218,55.95285,-415.5352549,5694.756972,14
38689,-156.66015,55.95357,-413.544971,5694.645087,14
38690,-156.62812,55.95428,-411.5546888,5694.533159,14
38691,-156.59609,55.95499,-409.5644083,5694.421187,14
38692,-156.56406,55.95569,-407.5741295,5694.309173,14
38693,-156.53203,55.95638,-405.5838525,5694.197117,14
38694,-156.5,55.95705,-403.5935772,5694.085017,14
38695,-156.46796,55.95773,-401.6033036,5693.972875,14
38696,-156.43593,55.95839,-399.6130319,5693.860689,14
38697,-156.40389,55.95904,-397.6227619,5693.748461,14
38698,-156.37185,55.95969,-395.6324936,5693.63619,14
38699,-156.33981,55.96032,-393.6422272,5693.523876,14
38700,-156.30777,55.96095,-391.6519626,5693.41152,14
38701,-156.27573,55.96157,-389.6616998,5693.299121,14
38702,-156.24369,55.96218,-387.6714387,5693.186678,14
38703,-156.21164,55.96278,-385.6811796,5693.074193,14
38704,-156.1796,55.96337,-383.6909222,5692.961666,14
38705,-156.14755,55.96396,-381.7006667,5692.849095,14
38706,-156.1155,55.96454,-379.7104131,5692.736482,14
38707,-156.08346,55.9651,-377.7201613,5692.623825,14
38708,-156.05141,55.96566,-375.7299114,5692.511126,14
38957,-156.66144,55.9715,-413.4312689,5696.648443,14
38958,-156.62939,55.97221,-411.4409565,5696.536512,14
38959,-156.59735,55.97292,-409.4506459,5696.424538,14
38960,-156.5653,55.97362,-407.4603369,5696.312522,14
38961,-156.53325,55.9743,-405.4700297,5696.200463,14
38962,-156.5012,55.97498,-403.4797243,5696.088361,14
38963,-156.46915,55.97566,-401.4894206,5695.976216,14
38964,-156.4371,55.97632,-399.4991187,5695.864028,14
38965,-156.40505,55.97697,-397.5088185,5695.751798,14
38966,-156.37299,55.97762,-395.5185201,5695.639524,14
38967,-156.34094,55.97825,-393.5282235,5695.527208,14
38968,-156.30888,55.97888,-391.5379287,5695.414849,14
38969,-156.27683,55.9795,-389.5476356,5695.302448,14
38970,-156.24477,55.98011,-387.5573444,5695.190003,14
38971,-156.21271,55.98071,-385.5670551,5695.077516,14
38972,-156.18065,55.98131,-383.5767675,5694.964986,14
38973,-156.14859,55.98189,-381.5864818,5694.852413,14
38974,-156.11653,55.98247,-379.596198,5694.739797,14
38975,-156.08446,55.98303,-377.605916,5694.627139,14
38976,-156.0524,55.98359,-375.6156358,5694.514437,14
39219,-156.66272,55.98942,-413.3175721,5698.651768,14
39220,-156.63066,55.99014,-411.3272295,5698.539835,14
39221,-156.5986,55.99085,-409.3368887,5698.427859,14
39222,-156.56654,55.99154,-407.3465496,5698.31584,14
39223,-156.53448,55.99223,-405.3562122,5698.203779,14
39224,-156.50241,55.99291,-403.3658766,5698.091674,14
39225,-156.47035,55.99358,-401.3755427,5697.979527,14
